shot #,gas,puff_valve_open,puff_width,peak_fire_time,pre_form_fire_time,peak_kV,preform_kV,form_kV,sust_kV,A,C,D,PFC1,PFC2
19718,Deuterium,3050.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,0.002,271.122,-265.67,-0.334,0.099
19719,Deuterium,3050.0,161.0,3200.0,3340.0,3.0,20.0,0.0,0.0,0.001,0.524,0.251,0.093,0.062
19720,Deuterium,3050.0,161.0,3200.0,3340.0,6.0,20.0,0.0,0.0,0.006,273.508,-265.796,-0.507,0.09
19721,Deuterium,3050.0,161.0,3200.0,3340.0,3.0,20.0,0.0,0.0,-0.0,271.543,-266.912,-0.056,0.115
19722,Deuterium,3050.0,161.0,3200.0,3340.0,3.0,20.0,0.0,0.0,0.003,2.154,0.028,-0.051,0.09
19723,Deuterium,3050.0,161.0,3200.0,3340.0,3.0,20.0,0.0,0.0,-0.001,-0.234,0.141,-0.815,-0.1
19724,Deuterium,3050.0,161.0,3200.0,3340.0,3.0,20.0,0.0,0.0,-0.001,0.241,0.053,0.02,-0.008
19725,Deuterium,3050.0,161.0,3200.0,3340.0,3.0,20.0,0.0,0.0,-0.001,0.024,-0.211,0.908,-0.05
19726,Deuterium,3056.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,-0.001,272.483,-265.744,0.728,-0.072
19727,Deuterium,3060.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,0.0,270.05,-266.715,1.113,-0.184
19728,Deuterium,3062.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,0.005,273.084,-265.097,1.19,0.21
19729,Deuterium,3064.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,0.001,269.131,-265.176,-0.053,0.102
19730,Deuterium,3056.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,0.002,269.935,-265.39,-0.178,0.228
19731,Deuterium,3066.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,-0.001,268.249,-264.566,-2.111,0.138
19732,Deuterium,3066.0,161.0,3200.0,3340.0,6.0,20.0,18.0,6.0,-0.0,267.781,-264.836,1.088,0.042
19733,Deuterium,3066.0,161.0,3200.0,3340.0,6.0,20.0,18.0,6.0,0.003,269.396,-264.807,0.392,-0.258
19734,Deuterium,3062.0,161.0,3200.0,3340.0,6.0,20.0,18.0,6.0,0.004,265.366,-263.911,-0.733,0.154
19735,Deuterium,3066.0,161.0,3200.0,3340.0,6.0,20.0,18.0,0.0,-0.0,263.883,-264.687,-0.014,-0.148
19736,Deuterium,3066.0,161.0,3200.0,3340.0,3.0,3.0,3.0,3.0,-0.004,-1.78,0.334,-2.001,0.148
19737,Deuterium,3066.0,161.0,3200.0,3340.0,3.0,3.0,3.0,3.0,0.0,2.874,-0.597,2.305,-0.262
19738,Deuterium,3066.0,161.0,3200.0,3340.0,3.0,3.0,3.0,3.0,0.005,0.693,0.452,-1.363,0.023
19739,Deuterium,3066.0,161.0,3200.0,3340.0,3.0,3.0,3.0,3.0,0.001,-0.524,0.846,-1.305,0.059
