Shot ID,Shots Since Up To Air,Shots Since Li GUN Coat,Shots Since Li POT Coat,Graph (20913)
1963,"5000","5000","5000","1"
1964,"5000","5000","5000","1"
1965,"5000","5000","5000","1"
1966,"5000","5000","5000","1"
1967,"5000","5000","5000","1"
1968,"5000","5000","5000","1"
1969,"5000","5000","5000","1"
1970,"5000","5000","5000","1"
1971,"5000","5000","5000","1"
1972,"5000","5000","5000","1"
1973,"5000","5000","5000","1"
1974,"5000","5000","5000","1"
1975,"5000","5000","5000","1"
1976,"5000","5000","5000","1"
1977,"5000","5000","5000","1"
1978,"5000","5000","5000","1"
1979,"5000","5000","5000","1"
1980,"5000","5000","5000","1"
1981,"5000","5000","5000","1"
1982,"5000","5000","5000","1"
1983,"5000","5000","5000","1"
1984,"5000","5000","5000","1"
1985,"5000","5000","5000","1"
1986,"5000","5000","5000","1"
1987,"5000","5000","5000","1"
1988,"5000","5000","5000","1"
1989,"5000","5000","5000","1"
1990,"5000","5000","5000","1"
1991,"5000","5000","5000","1"
1992,"5000","5000","5000","1"
1993,"5000","5000","5000","1"
1994,"5000","5000","5000","1"
1995,"5000","5000","5000","1"
1996,"5000","5000","5000","1"
1997,"5000","5000","5000","1"
1998,"5000","5000","5000","1"
1999,"5000","5000","5000","1"
2000,"5000","5000","5000","1"
2001,"5000","5000","5000","1"
2002,"5000","5000","5000","1"
2003,"5000","5000","5000","1"
2004,"5000","5000","5000","1"
2005,"5000","5000","5000","1"
2006,"5000","5000","5000","1"
2007,"5000","5000","5000","1"
2008,"5000","5000","5000","1"
2009,"5000","5000","5000","1"
2010,"5000","5000","5000","1"
2011,"5000","5000","5000","1"
2012,"5000","5000","5000","1"
2013,"5000","5000","5000","1"
2014,"5000","5000","5000","1"
2015,"5000","5000","5000","1"
2016,"5000","5000","5000","1"
2017,"5000","5000","5000","1"
2018,"5000","5000","5000","1"
2019,"5000","5000","5000","1"
2020,"5000","5000","5000","1"
2021,"5000","5000","5000","1"
2022,"5000","5000","5000","1"
2023,"5000","5000","5000","1"
2024,"5000","5000","5000","1"
2025,"5000","5000","5000","1"
2026,"5000","5000","5000","1"
2027,"5000","5000","5000","1"
2029,"5000","5000","5000","1"
2030,"5000","5000","5000","1"
2031,"5000","5000","5000","1"
2032,"5000","5000","5000","1"
2033,"5000","5000","5000","1"
2034,"5000","5000","5000","1"
2035,"5000","5000","5000","1"
2036,"5000","5000","5000","1"
2037,"5000","5000","5000","1"
2038,"5000","5000","5000","1"
2039,"5000","5000","5000","1"
2040,"5000","5000","5000","1"
2041,"5000","5000","5000","1"
2042,"5000","5000","5000","1"
2043,"5000","5000","5000","1"
2044,"5000","5000","5000","1"
2045,"5000","5000","5000","1"
2046,"5000","5000","5000","1"
2047,"5000","5000","5000","1"
2048,"5000","5000","5000","1"
2049,"5000","5000","5000","1"
2050,"5000","5000","5000","1"
2051,"5000","5000","5000","1"
2052,"5000","5000","5000","1"
2053,"5000","5000","5000","1"
2054,"5000","5000","5000","1"
2055,"5000","5000","5000","1"
2056,"5000","5000","5000","1"
2057,"5000","5000","5000","1"
2058,"5000","5000","5000","1"
2059,"5000","5000","5000","1"
2060,"5000","5000","5000","1"
2061,"5000","5000","5000","1"
2062,"5000","5000","5000","1"
2063,"5000","5000","5000","1"
2064,"5000","5000","5000","1"
2065,"5000","5000","5000","1"
2066,"5000","5000","5000","1"
2067,"5000","5000","5000","1"
2068,"5000","5000","5000","1"
2069,"5000","5000","5000","1"
2070,"5000","5000","5000","1"
2071,"5000","5000","5000","1"
2072,"5000","5000","5000","1"
2073,"5000","5000","5000","1"
2074,"5000","5000","5000","1"
2075,"5000","5000","5000","1"
2076,"5000","5000","5000","1"
