System,Experiment,Shot ID,Graph (20913),Shots Since Li GUN Coat,Shots Since Li POT Coat,Total Lifetime (us)
Pi 3,"pi3b (Pi3 spherical build)","1963","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1964","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1965","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1966","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1967","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1968","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1969","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1970","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1971","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1972","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1973","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1974","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1975","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1976","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1977","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1978","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1979","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1980","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1981","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1982","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1983","1","5000","5000","0"
Pi 3,"pi3b (Pi3 spherical build)","1984","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1985","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1986","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1987","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1988","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1989","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1990","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1991","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1992","1","5000","5000","<N/C>"
Pi 3,"pi3b (Pi3 spherical build)","1993","1","5000","5000","<N/C>"
