System,Experiment,Shot ID,Sustainment Setpoint (kV),Graph (20913)
Pi 3,"pi3b (Pi3 spherical build)","1963","","1"
Pi 3,"pi3b (Pi3 spherical build)","1964","","1"
Pi 3,"pi3b (Pi3 spherical build)","1965","","1"
Pi 3,"pi3b (Pi3 spherical build)","1966","","1"
Pi 3,"pi3b (Pi3 spherical build)","1967","","1"
Pi 3,"pi3b (Pi3 spherical build)","1968","","1"
Pi 3,"pi3b (Pi3 spherical build)","1969","","1"
Pi 3,"pi3b (Pi3 spherical build)","1970","","1"
Pi 3,"pi3b (Pi3 spherical build)","1971","","1"
Pi 3,"pi3b (Pi3 spherical build)","1972","","1"
Pi 3,"pi3b (Pi3 spherical build)","1973","","1"
Pi 3,"pi3b (Pi3 spherical build)","1974","","1"
Pi 3,"pi3b (Pi3 spherical build)","1975","","1"
Pi 3,"pi3b (Pi3 spherical build)","1976","","1"
Pi 3,"pi3b (Pi3 spherical build)","1977","","1"
Pi 3,"pi3b (Pi3 spherical build)","1978","","1"
Pi 3,"pi3b (Pi3 spherical build)","1979","","1"
Pi 3,"pi3b (Pi3 spherical build)","1980","","1"
Pi 3,"pi3b (Pi3 spherical build)","1981","","1"
Pi 3,"pi3b (Pi3 spherical build)","1982","","1"
Pi 3,"pi3b (Pi3 spherical build)","1983","","1"
Pi 3,"pi3b (Pi3 spherical build)","1984","","1"
Pi 3,"pi3b (Pi3 spherical build)","1985","","1"
Pi 3,"pi3b (Pi3 spherical build)","1986","","1"
Pi 3,"pi3b (Pi3 spherical build)","1987","","1"
Pi 3,"pi3b (Pi3 spherical build)","1988","","1"
Pi 3,"pi3b (Pi3 spherical build)","1989","","1"
Pi 3,"pi3b (Pi3 spherical build)","1990","","1"
Pi 3,"pi3b (Pi3 spherical build)","1991","","1"
Pi 3,"pi3b (Pi3 spherical build)","1992","","1"
Pi 3,"pi3b (Pi3 spherical build)","1993","","1"
Pi 3,"pi3b (Pi3 spherical build)","1994","","1"
Pi 3,"pi3b (Pi3 spherical build)","1995","","1"
Pi 3,"pi3b (Pi3 spherical build)","1996","","1"
Pi 3,"pi3b (Pi3 spherical build)","1997","","1"
Pi 3,"pi3b (Pi3 spherical build)","1998","","1"
Pi 3,"pi3b (Pi3 spherical build)","1999","","1"
Pi 3,"pi3b (Pi3 spherical build)","2000","","1"
Pi 3,"pi3b (Pi3 spherical build)","2001","","1"
Pi 3,"pi3b (Pi3 spherical build)","2002","","1"
Pi 3,"pi3b (Pi3 spherical build)","2003","","1"
Pi 3,"pi3b (Pi3 spherical build)","2004","","1"
Pi 3,"pi3b (Pi3 spherical build)","2005","","1"
Pi 3,"pi3b (Pi3 spherical build)","2006","","1"
Pi 3,"pi3b (Pi3 spherical build)","2007","","1"
Pi 3,"pi3b (Pi3 spherical build)","2008","","1"
Pi 3,"pi3b (Pi3 spherical build)","2009","","1"
Pi 3,"pi3b (Pi3 spherical build)","2010","","1"
Pi 3,"pi3b (Pi3 spherical build)","2011","","1"
Pi 3,"pi3b (Pi3 spherical build)","2012","","1"
Pi 3,"pi3b (Pi3 spherical build)","2013","","1"
Pi 3,"pi3b (Pi3 spherical build)","2014","","1"
Pi 3,"pi3b (Pi3 spherical build)","2015","","1"
Pi 3,"pi3b (Pi3 spherical build)","2016","","1"
Pi 3,"pi3b (Pi3 spherical build)","2017","","1"
Pi 3,"pi3b (Pi3 spherical build)","2018","","1"
Pi 3,"pi3b (Pi3 spherical build)","2019","","1"
Pi 3,"pi3b (Pi3 spherical build)","2020","","1"
Pi 3,"pi3b (Pi3 spherical build)","2021","","1"
Pi 3,"pi3b (Pi3 spherical build)","2022","","1"
Pi 3,"pi3b (Pi3 spherical build)","2023","","1"
Pi 3,"pi3b (Pi3 spherical build)","2024","","1"
Pi 3,"pi3b (Pi3 spherical build)","2025","","1"
Pi 3,"pi3b (Pi3 spherical build)","2026","","1"
Pi 3,"pi3b (Pi3 spherical build)","2027","","1"
Pi 3,"pi3b (Pi3 spherical build)","2029","","1"
Pi 3,"pi3b (Pi3 spherical build)","2030","","1"
Pi 3,"pi3b (Pi3 spherical build)","2031","","1"
Pi 3,"pi3b (Pi3 spherical build)","2032","<puff ref>","1"
Pi 3,"pi3b (Pi3 spherical build)","2033","","1"
Pi 3,"pi3b (Pi3 spherical build)","2034","","1"
Pi 3,"pi3b (Pi3 spherical build)","2035","","1"
Pi 3,"pi3b (Pi3 spherical build)","2036","","1"
Pi 3,"pi3b (Pi3 spherical build)","2037","","1"
Pi 3,"pi3b (Pi3 spherical build)","2038","","1"
Pi 3,"pi3b (Pi3 spherical build)","2039","","1"
Pi 3,"pi3b (Pi3 spherical build)","2040","","1"
Pi 3,"pi3b (Pi3 spherical build)","2041","","1"
Pi 3,"pi3b (Pi3 spherical build)","2042","","1"
Pi 3,"pi3b (Pi3 spherical build)","2043","","1"
Pi 3,"pi3b (Pi3 spherical build)","2044","","1"
Pi 3,"pi3b (Pi3 spherical build)","2045","","1"
Pi 3,"pi3b (Pi3 spherical build)","2046","","1"
Pi 3,"pi3b (Pi3 spherical build)","2047","","1"
Pi 3,"pi3b (Pi3 spherical build)","2048","","1"
Pi 3,"pi3b (Pi3 spherical build)","2049","","1"
Pi 3,"pi3b (Pi3 spherical build)","2050","","1"
Pi 3,"pi3b (Pi3 spherical build)","2051","","1"
Pi 3,"pi3b (Pi3 spherical build)","2052","","1"
Pi 3,"pi3b (Pi3 spherical build)","2053","","1"
Pi 3,"pi3b (Pi3 spherical build)","2054","","1"
Pi 3,"pi3b (Pi3 spherical build)","2055","","1"
Pi 3,"pi3b (Pi3 spherical build)","2056","","1"
Pi 3,"pi3b (Pi3 spherical build)","2057","","1"
Pi 3,"pi3b (Pi3 spherical build)","2058","","1"
Pi 3,"pi3b (Pi3 spherical build)","2059","","1"
Pi 3,"pi3b (Pi3 spherical build)","2060","","1"
Pi 3,"pi3b (Pi3 spherical build)","2061","","1"
Pi 3,"pi3b (Pi3 spherical build)","2062","","1"
Pi 3,"pi3b (Pi3 spherical build)","2063","","1"
Pi 3,"pi3b (Pi3 spherical build)","2064","","1"
Pi 3,"pi3b (Pi3 spherical build)","2065","","1"
Pi 3,"pi3b (Pi3 spherical build)","2066","","1"
Pi 3,"pi3b (Pi3 spherical build)","2067","","1"
Pi 3,"pi3b (Pi3 spherical build)","2068","","1"
Pi 3,"pi3b (Pi3 spherical build)","2069","","1"
Pi 3,"pi3b (Pi3 spherical build)","2070","","1"
Pi 3,"pi3b (Pi3 spherical build)","2071","","1"
Pi 3,"pi3b (Pi3 spherical build)","2072","","1"
Pi 3,"pi3b (Pi3 spherical build)","2073","","1"
Pi 3,"pi3b (Pi3 spherical build)","2074","","1"
Pi 3,"pi3b (Pi3 spherical build)","2075","","1"
Pi 3,"pi3b (Pi3 spherical build)","2076","","1"
Pi 3,"pi3b (Pi3 spherical build)","2077","","1"
Pi 3,"pi3b (Pi3 spherical build)","2078","","1"
