Shot #,T0 (eV),T1 (eV),T2 (eV),T3 (eV),Err. 0 (eV),Err. 1 (eV),Err. 2 (eV),Err. 3 (eV),t0 (ms),t1 (ms),t2 (ms),t3 (ms),Saturation detected
20003.00000,61.46478,0.00000,0.00000,0.00000,0.77692,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20009.00000,6.42479,0.00000,0.00000,0.00000,0.10031,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20011.00000,8.23042,0.00000,0.00000,0.00000,0.17349,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20012.00000,99.20992,0.00000,0.00000,0.00000,1.15573,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20013.00000,5.83308,0.00000,0.00000,0.00000,0.17648,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20015.00000,7.05720,0.00000,0.00000,0.00000,0.10070,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20017.00000,11.78861,0.00000,0.00000,0.00000,0.12430,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20018.00000,58.38140,0.00000,0.00000,0.00000,1.12045,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20020.00000,92.44938,0.00000,0.00000,0.00000,1.65542,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20021.00000,9.82431,0.00000,0.00000,0.00000,0.11875,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,1.00000
20124.00000,111.66989,0.00000,0.00000,0.00000,3.53895,0.00000,0.00000,0.00000,5.00000,5.00000,5.00000,5.00000,0.00000
20125.00000,50.70371,,,,1.39117,,,,5.00000,5.00000,5.00000,5.00000,0.00000
20126.00000,74.81424,,,,1.50021,,,,5.00000,5.00000,5.00000,5.00000,0.00000
20135.00000,227.70573,,,,2.32627,,,,5.00000,5.00000,5.00000,5.00000,1.00000
20136.00000,272.88746,,,,3.56311,,,,5.00000,5.00000,5.00000,5.00000,1.00000
20137.00000,286.76968,,,,3.52367,,,,5.00000,5.00000,5.00000,5.00000,1.00000
